artist,song,popularity,uri,url
Taylor Swift,...Ready For It?,0,spotify:track:7zgqtptZvhf8GEmdsM2vp2,https://open.spotify.com/track/7zgqtptZvhf8GEmdsM2vp2
Thomas Rhett,Life Changes,63,spotify:track:4Vxu50qVrQcycjRyJQaZLC,https://open.spotify.com/track/4Vxu50qVrQcycjRyJQaZLC
Bruno Mars,24K Magic,81,spotify:track:6b8Be6ljOzmkOmFslEb23P,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
Ed Sheeran,Galway Girl,80,spotify:track:0afhq8XCExXpqazXczTSve,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
Ed Sheeran,Photograph,86,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
Camila Cabello,Havana (feat. Young Thug),1,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
Bruno Mars,When I Was Your Man,89,spotify:track:0nJW01T7XtvILxQgC5J7Wh,https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh
Bill Conti,Gonna Fly Now,56,spotify:track:6C2PfemHQul77DVpnvuAIs,https://open.spotify.com/track/6C2PfemHQul77DVpnvuAIs
Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),0,spotify:track:3PGdPUMdUg7a3Tgr5gkfKK,https://open.spotify.com/track/3PGdPUMdUg7a3Tgr5gkfKK
Ed Sheeran,Thinking out Loud,84,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
Neon Trees,Everybody Talks,51,spotify:track:3528IXKpbb7OMjdjWYlbfD,https://open.spotify.com/track/3528IXKpbb7OMjdjWYlbfD
Taylor Swift,We Are Never Ever Getting Back Together,61,spotify:track:7AEAGTc8cReDqcbPoY9gwo,https://open.spotify.com/track/7AEAGTc8cReDqcbPoY9gwo
Taylor Swift,Bad Blood,70,spotify:track:273dCMFseLcVsoSWx59IoE,https://open.spotify.com/track/273dCMFseLcVsoSWx59IoE
The Script,Hall of Fame (feat. will.i.am),70,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,https://open.spotify.com/track/1X1DWw2pcNZ8zSub3uhlNz
Maroon 5,Payphone,71,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,https://open.spotify.com/track/1LmN9SSHISbtp9LoaR5ZVJ
Maroon 5,Sugar,82,spotify:track:2iuZJX9X9P0GKaE93xcPjk,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk
Sugarland,Stuck Like Glue,66,spotify:track:0JcKdUGNR7zI4jJDLyYXbi,https://open.spotify.com/track/0JcKdUGNR7zI4jJDLyYXbi
Bruno Mars,That's What I Like,85,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
One Direction,Steal My Girl,81,spotify:track:2Bs4jQEGMycglOfWPBqrVG,https://open.spotify.com/track/2Bs4jQEGMycglOfWPBqrVG
DJ Khaled,I'm the One,0,spotify:track:72Q0FQQo32KJloivv5xge2,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
Taylor Swift,Wildest Dreams,74,spotify:track:59HjlYCeBsxdI0fcm3zglw,https://open.spotify.com/track/59HjlYCeBsxdI0fcm3zglw
Khalid,Young Dumb & Broke,81,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
Natasha Bedingfield,Unwritten,2,spotify:track:1D1nixOVWOxvNfWi0UD7VX,https://open.spotify.com/track/1D1nixOVWOxvNfWi0UD7VX
R. Kelly,Ignition - Remix,64,spotify:track:3zSCNTXI7Ed0PiidZVmzIe,https://open.spotify.com/track/3zSCNTXI7Ed0PiidZVmzIe
Tom Petty,Free Fallin',78,spotify:track:5tVA6TkbaAH9QMITTQRrNv,https://open.spotify.com/track/5tVA6TkbaAH9QMITTQRrNv
Van Morrison,Brown Eyed Girl,80,spotify:track:3yrSvpt2l1xhsV9Em88Pul,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul
Jason Derulo,It Girl,71,spotify:track:4fINc8dnfcz7AdhFYVA4i7,https://open.spotify.com/track/4fINc8dnfcz7AdhFYVA4i7
Train,"Hey, Soul Sister",0,spotify:track:0KpfYajJVVGgQ32Dby7e9i,https://open.spotify.com/track/0KpfYajJVVGgQ32Dby7e9i
Portugal. The Man,Feel It Still,78,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
The Chainsmokers,Closer,86,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",74,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,https://open.spotify.com/track/1WkMMavIMc4JZ8cfMmxHkI
Soulja Boy,Kiss Me Thru The Phone,78,spotify:track:2q4rjDy9WhaN3o9MvDbO21,https://open.spotify.com/track/2q4rjDy9WhaN3o9MvDbO21
Mark Ronson,Uptown Funk (feat. Bruno Mars),84,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
Taylor Swift,Blank Space,78,spotify:track:1p80LdxRV74UKvL8gnD7ky,https://open.spotify.com/track/1p80LdxRV74UKvL8gnD7ky
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",73,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,https://open.spotify.com/track/7LcfRTgAVTs5pQGEQgUEzN
Katy Perry,Roar,74,spotify:track:6F5c58TMEs1byxUstkzVeM,https://open.spotify.com/track/6F5c58TMEs1byxUstkzVeM
Village People,Ymca,50,spotify:track:7Cp69rNBwU0gaFT8zxExlE,https://open.spotify.com/track/7Cp69rNBwU0gaFT8zxExlE
Taylor Swift,You Belong With Me,71,spotify:track:3GCL1PydwsLodcpv0Ll1ch,https://open.spotify.com/track/3GCL1PydwsLodcpv0Ll1ch
The Killers,All These Things That I've Done,3,spotify:track:0kYUrLVQOfx21xuXu7OGrT,https://open.spotify.com/track/0kYUrLVQOfx21xuXu7OGrT
Taylor Swift,I Knew You Were Trouble.,64,spotify:track:72jCZdH0Lhg93z6Z4hBjgj,https://open.spotify.com/track/72jCZdH0Lhg93z6Z4hBjgj
DNCE,Cake By The Ocean,82,spotify:track:76hfruVvmfQbw0eYn1nmeC,https://open.spotify.com/track/76hfruVvmfQbw0eYn1nmeC
Carly Rae Jepsen,Call Me Maybe,74,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,https://open.spotify.com/track/3TGRqZ0a2l1LRblBkJoaDx
Taylor Swift,22,58,spotify:track:3bIxTsfeNMO7Nt2J3EUKrA,https://open.spotify.com/track/3bIxTsfeNMO7Nt2J3EUKrA
Katy Perry,California Gurls,76,spotify:track:6tS3XVuOyu10897O3ae7bi,https://open.spotify.com/track/6tS3XVuOyu10897O3ae7bi
Taylor Swift,Welcome To New York,64,spotify:track:6qnM0XXPZOINWA778uNqQ9,https://open.spotify.com/track/6qnM0XXPZOINWA778uNqQ9
Taylor Swift,Our Song,72,spotify:track:15DeqWWQB4dcEWzJg15VrN,https://open.spotify.com/track/15DeqWWQB4dcEWzJg15VrN
Taylor Swift,Love Story,70,spotify:track:1vrd6UOGamcKNGnSHJQlSt,https://open.spotify.com/track/1vrd6UOGamcKNGnSHJQlSt
Taylor Swift,Hey Stephen,50,spotify:track:4WXzzCof26KJLTK5kK53dS,https://open.spotify.com/track/4WXzzCof26KJLTK5kK53dS
Taylor Swift,Style,66,spotify:track:1fo2ctLqj3zBhRQKOXprol,https://open.spotify.com/track/1fo2ctLqj3zBhRQKOXprol
Taylor Swift,Shake It Off,74,spotify:track:5xTtaWoae3wi06K5WfVUUH,https://open.spotify.com/track/5xTtaWoae3wi06K5WfVUUH
Taylor Swift,Mean,67,spotify:track:5yEPktRqvIhko5QFF3aBhQ,https://open.spotify.com/track/5yEPktRqvIhko5QFF3aBhQ
Taylor Swift,Gorgeous,0,spotify:track:0CLnkxpa3M4eA3HeGaERat,https://open.spotify.com/track/0CLnkxpa3M4eA3HeGaERat
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,66,spotify:track:7zMcNqs55Mxer82bvZFkpg,https://open.spotify.com/track/7zMcNqs55Mxer82bvZFkpg
John Legend,All of Me,86,spotify:track:3U4isOIWM3VvDubwSI3y7a,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
Passenger,Let Her Go,0,spotify:track:6GmUVqe73u5YRfUUynZK6I,https://open.spotify.com/track/6GmUVqe73u5YRfUUynZK6I
Sam Smith,Stay With Me,0,spotify:track:5Db9VIdDsN5yu3Eu7CT0i4,https://open.spotify.com/track/5Db9VIdDsN5yu3Eu7CT0i4
Ed Sheeran,The A Team,75,spotify:track:1VdZ0vKfR5jneCmWIUAMxK,https://open.spotify.com/track/1VdZ0vKfR5jneCmWIUAMxK
DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",64,spotify:track:1jYiIOC5d6soxkJP81fxq2,https://open.spotify.com/track/1jYiIOC5d6soxkJP81fxq2
Justin Timberlake,Mirrors,0,spotify:track:2JZKXgq5zsokN01KWyiY6n,https://open.spotify.com/track/2JZKXgq5zsokN01KWyiY6n
Katy Perry,Firework,72,spotify:track:4lCv7b86sLynZbXhfScfm2,https://open.spotify.com/track/4lCv7b86sLynZbXhfScfm2
Ed Sheeran,Perfect,89,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
Justin Bieber,What Do You Mean?,79,spotify:track:4B0JvthVoAAuygILe3n4Bs,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs
Demi Lovato,Sorry Not Sorry,0,spotify:track:3Du2K5dLzmduCNp6uwuaL0,https://open.spotify.com/track/3Du2K5dLzmduCNp6uwuaL0
Kelly Clarkson,Stronger (What Doesn't Kill You),67,spotify:track:6D60klaHqbCl9ySc8VcRss,https://open.spotify.com/track/6D60klaHqbCl9ySc8VcRss
Brett Young,In Case You Didn't Know,0,spotify:track:2dWgzqawzDkBL8QfZw92Ub,https://open.spotify.com/track/2dWgzqawzDkBL8QfZw92Ub
